Tracker ID,Unit,Plant,Wiki page,Sponsor,Capacity (MW),Status,Region,Country,Subnational unit (province/state),Latitude,Longitude,Parent
G101243,Çayırhan power station Unit 2,Çayırhan power station,http://bit.ly/2heBVWf,Park Enerji,150,Operating,non-EU Europe,Turkey,Ankara,40.097,31.695,Ciner Holding
G101244,Çayırhan power station Unit 3,Çayırhan power station,http://bit.ly/2heBVWf,Park Enerji,160,Operating,non-EU Europe,Turkey,Ankara,40.097,31.695,Ciner Holding
G101245,Çayırhan power station Unit 4,Çayırhan power station,http://bit.ly/2heBVWf,Park Enerji,160,Operating,non-EU Europe,Turkey,Ankara,40.097,31.695,Ciner Holding
G112797,Çayırhan-B power station,Çayırhan power station,http://bit.ly/2heBVWf,Kolin-Kalyon-Celikler Consortium,800,Pre-Permit,non-EU Europe,Turkey,Ankara,40.097,31.695,"Çelikler Holding, Kalyon Group, Kolin Group"
G100503,Bandırma Elektrik power station,Bandırma Elektrik power station,http://bit.ly/1PEHlFG,Bahçepınar Enerji Üretim ve İnşaat A.Ş.,1600,Cancelled,non-EU Europe,Turkey,Balıkesir,40.30593,27.7272,Bahçepınar Enerji Üretim ve İnşaat A.Ş.
G105741,Bandırma III power station,Bandırma III power station,http://bit.ly/1BL2CTa,Enerjisa Enerji Üretim A.Ş.,810,Cancelled,non-EU Europe,Turkey,Balıkesir,39.385,27.533,Enerjisa Enerji Üretim A.Ş.
G100504,Bandırma Karat power station,Bandırma Karat power station,http://bit.ly/1nVMY0X,Karat Elektrik Üretim ve Ticaret,1200,Cancelled,non-EU Europe,Turkey,Balıkesir,40.357,27.975,Karat Elektrik Üretim ve Ticaret
G103087,Gönen power station,Gönen power station,http://bit.ly/1msW585,TGR Enerji,300,Cancelled,non-EU Europe,Turkey,Balıkesir,40.1,27.65,Inter RAO
G103750,HEMA Amasra power station,HEMA Amasra power station,http://bit.ly/1LxU7OA,HEMA Elektrik Üretim A.Ş.,1320,Pre-Permit,non-EU Europe,Turkey,Bartin,41.723,32.349,Hattat Holding
G100145,Amasra Bartın power station Unit 1,Amasra Bartın power station,http://bit.ly/1rhwp56,Bati Karadeniz Elektrik Üretim A.Ş.,600,Shelved,non-EU Europe,Turkey,Bartın,41.72704,32.34971,Hattat Holding
